Player;Team;Position;Age;Contract expires;Minutes played;Goals;xG;PAdj Interceptions;Successful attacking actions per 90;Goals per 90;xG per 90;Shots per 90;Shots on target, %;Goal conversion, %;Offensive duels won, %;Touches in box per 90;Accelerations per 90;Short / medium passes per 90;Shot assists per 90
R. Labeau-Lascary;Laval;RW, CF, LW;21;;1615;3;4,11;2,84;4,51;0,17;0,23;1,73;58,06;9,677;35,23;3,01;1,34;13,76;0,45
A. Hountondji;Rodez ;CF, RWF;21;2025-06-30;1844;12;8,97;1;4,34;0,59;0,44;2,34;43,75;25;38,18;4,88;0,68;10,15;0,54
L. Delaurier-Chaubet;Quevilly Rouen;RW, RWF, CF;21;2026-06-30;1604;4;4,02;3,47;4,38;0,22;0,23;2,24;42,5;10;37,21;2,47;0,84;22,33;0,95
Ž. Vipotnik;Bordeaux;CF;22;2024-05-31;1954;8;11,33;0,65;2,26;0,37;0,52;2,95;39,06;12,5;37,17;3,92;0,09;8,71;0,32
B. Mouazan;Concarneau;RW, LW, CF;22;2025-06-30;2129;3;2,32;2,71;2,87;0,13;0,1;1,1;42,31;11,538;49;1,44;0,8;31,83;0,68
A. El Ouazzani;Guingamp;CF, RW;22;2026-06-30;2483;11;10,7;2,65;2,43;0,4;0,39;2,21;40,98;18,033;26,71;3,33;0,47;14,68;0,51
E. Bardeli;Dunkerque;AMF, CF, LCMF;22;;2381;3;2,96;4,1;2,38;0,11;0,11;0,72;52,63;15,789;43,43;1,55;1,21;35,76;1,21
M. Camara;Quevilly Rouen;RW, CF, LW;23;;1600;4;2,76;3,2;4,5;0,23;0,16;1,41;48;16;31,13;2,98;0,62;23,74;1,29
S. Soumano;Quevilly Rouen;CF;23;2024-06-30;2256;11;8,97;1,76;2,23;0,44;0,36;2,47;38,71;17,742;31,78;3,95;0,12;16,4;0,72
K. Corredor;Rodez ;CF, LWF;23;2026-06-30;2625;9;9,86;1,38;3,74;0,31;0,34;2,71;39,24;11,392;33,82;3,98;0,65;16,11;0,72
B. Brahimi;Caen;CF, AMF, RW;23;2027-06-30;1472;1;2,88;2,07;3,55;0,06;0,18;1,65;29,63;3,704;46,54;2,32;0,98;35,1;1,04
V. Postolachi;Grenoble;CF;24;2024-06-30;1272;3;3,71;1,61;1,27;0,21;0,26;1,49;28,57;14,286;30,77;2,62;0,14;15,07;0,64
L. Sinayoko;Auxerre;LAMF, RAMF, CF;24;2025-06-30;1610;5;5,04;5;4,47;0,28;0,28;2,8;26;10;37;5,7;0,34;29,96;1,01
M. Sylla;Pau;RW, CF, LW;24;2025-06-30;2340;10;7,24;2,19;4,38;0,38;0,28;2,04;58,49;18,868;43,42;3,38;0,54;18,92;1,08
L. Ilić;Troyes;AMF, CF, RCMF;24;2024-06-30;1281;5;2,16;3,29;2,04;0,35;0,15;0,84;75;41,667;31,76;1,41;0,91;30,49;1,19
I. Kebbal;Paris;AMF, CF, RW;25;2024-06-30;2587;4;5,29;2,57;4,7;0,14;0,18;1,43;31,71;9,756;49,1;2,26;1,7;41,29;2,05
M. Alfarela;Bastia;CF, RW;26;2025-06-30;2124;8;8,86;2,29;4,19;0,34;0,38;2,71;39,06;12,5;35,69;3,6;0,64;18,69;0,76
P. Meïssa Ba;Grenoble;CF;26;2025-06-30;1656;11;11,19;2,11;2,72;0,6;0,61;2,45;51,11;24,444;29,53;3,91;0,6;17,34;0,76
F. Ayé;Auxerre;CF;27;2024-06-30;2040;8;8,95;1,89;1,9;0,35;0,4;1,9;53,49;18,605;30,63;4,99;0,04;12,26;0,4
G. Weissbeck;Bordeaux;LCMF, AMF, CF;27;2025-06-30;1900;3;3,78;4,22;2,27;0,14;0,18;2,61;36,36;5,455;24,73;2,13;0,81;41,31;0,85
I. Sissoko;Saint-Étienne;CF;28;2026-06-30;1925;10;10,29;2,76;2,43;0,47;0,48;2,57;45,45;18,182;22,87;3,04;0,19;17,11;0,37
A. Onaiwu;Auxerre;LAMF, CF;28;2024-06-30;1343;8;6,07;3,21;2,61;0,54;0,41;2,61;28,21;20,513;35,11;4,15;0,4;27,74;0,74
K. Djoco;Annecy;CF, LWF;28;2025-06-30;1633;3;3,73;2,27;2,81;0,17;0,21;1,6;37,93;10,345;35;2,98;0,99;18,24;0,61
B. Guillaume;Guingamp;CF;28;2024-06-30;2074;7;5,04;1,77;1,56;0,3;0,22;1,17;70,37;25,926;31,97;2,95;0,26;15,93;0,74
L. Mafouta;Amiens SC;CF, LAMF;29;2025-06-30;2362;9;8,35;2,01;1,56;0,34;0,32;1,71;42,22;20;30,53;3,43;0,27;18,9;0,61
P. Hamel;Paris;CF, AMF;30;2026-06-30;1322;8;6,96;3,79;1,43;0,54;0,47;2,04;50;26,667;27,94;3,34;0,14;19,06;0,14
P. Ba;Concarneau;CF;31;2024-06-30;1984;10;7,11;1,58;1,95;0,45;0,32;1,54;61,76;29,412;25,14;2,13;0,32;18,6;0,5
L. Diony;Angers SCO;CF;31;2025-06-30;2380;11;9,07;0,57;1,93;0,42;0,34;1,59;52,38;26,19;25,76;3,48;0,19;13,12;0,64
B. Santelli;Bastia;CF, LW, LAMF;32;2024-06-30;1518;5;6,92;5,59;2,02;0,3;0,41;2,55;25,58;11,628;27,33;3,14;0,18;26,92;1,07
Y. Bammou;Ajaccio;RW, CF;32;;1467;3;2,08;4,46;1,9;0,18;0,13;1,6;46,15;11,538;22,3;1,84;0,18;25,21;0,49
K. Coulibaly;Quevilly Rouen;CF;32;;1499;5;4,79;2,07;1,86;0,3;0,29;1,98;45,45;15,152;28,87;4,14;0,3;15,67;1,02
H. Saivet;Pau;CF, AMF;33;2024-06-30;1876;7;4,55;3,18;2,11;0,34;0,22;1,01;52,38;33,333;48,04;0,91;0,29;27,2;1,15
G. Courtet;Dunkerque;CF;35;2024-06-30;1711;5;4,83;2,88;1,63;0,26;0,25;1,58;63,33;16,667;25,69;2,37;0,16;19,3;0,63
A. Carroll;Amiens SC;CF;35;2024-06-30;1544;4;3,28;2,98;1,57;0,23;0,19;1,81;32,26;12,903;30,14;3,32;0;16,38;0,64
M. Tchokounté;Laval;CF;35;;2438;8;10,48;1,93;1,29;0,3;0,39;1,66;44,44;17,778;23,72;3,25;0,04;21,04;0,81
K. Boutaïb;Pau;CF;36;;1721;7;5,46;3,6;1,78;0,37;0,29;2,2;45,24;16,667;29,78;3,45;0,1;25,47;0,68
Y. Touzghar;Ajaccio;CF;37;2024-06-30;1744;5;3,15;1,77;0,83;0,26;0,16;0,77;53,33;33,333;23,89;2,27;0,15;20,69;0,52
