Player;Team;Position;Age;Market value;Contract expires;Minutes played;Successful defensive actions per 90;Defensive duels per 90;Defensive duels won, %;Progressive runs per 90;Passes per 90;Accurate passes, %;Forward passes per 90;Accurate forward passes, %;Short / medium passes per 90;Accurate short / medium passes, %;Long passes per 90;Accurate long passes, %;Passes to final third per 90;Accurate passes to final third, %;Through passes per 90;Accurate through passes, %;Progressive passes per 90;Accurate progressive passes, %
A. Kanté;Troyes;DMF, RCMF, RDMF;18;0;;1678;11,59;10,94;63,73;0,43;43,39;85,66;12,93;73,86;38,99;89,96;4,02;49,33;4,34;58,02;0,32;0;4,77;66,29
B. Traoré;Caen;RCB, LCMF;20;600000;2026-06-30;2586;9,4;5,99;63,95;0,52;41,73;90,91;10,37;78,86;38,46;94,03;3,24;54,84;2,99;68,6;0,07;0;3,41;60,2
M. Adeline;Annecy;DMF, LDMF, LCMF;20;0;;1566;10,34;8,45;53,06;1,21;34,02;75,51;11,49;61;30,75;81,87;2,24;20,51;5,69;62,63;0,63;27,27;3,97;65,22
O. Gene;Amiens SC;LCMF, RCMF, LDMF;20;0;2024-06-30;1630;12,26;9,72;57,95;0,61;41,74;87,17;12,48;78,76;39,09;89,55;2,26;56,1;5,3;75;0,33;50;5,63;75,49
J. Janneh;Bastia;LCMF, LDMF, RCMF;21;0;;1928;12,09;9,8;67,62;0,14;43,13;82,58;12,32;66,29;37,58;87,45;5,32;50,88;5,6;62,5;1,07;43,48;5,98;69,53
Y. Barry;Annecy;LB, LCMF, RCMF;21;100000;;1522;8,93;9,22;55,77;2,72;29,03;73,93;11,77;66,83;24,48;79,95;3,31;48,21;5,14;68,97;0,47;25;5,74;72,16
L. Mouton;Pau;LCMF, RCMF;21;500000;2025-06-30;1648;9,99;12,34;51,33;1,42;43,74;81,65;14,91;71,06;38,12;85,53;4,53;65,06;6,94;66,14;1,31;41,67;7,15;76,34
D. Kruse;Valenciennes;RCMF, LDMF, RDMF;21;400000;2025-06-30;1508;7,1;7,94;53,38;0,36;31,03;85,58;7,82;64,89;29,06;88,09;1,73;44,83;3,28;69,09;0,06;0;3,1;53,85
W. Taïbi;Rodez ;RCMF, LCMF;22;500000;2025-06-30;1849;8,03;6,38;58,02;1,9;42,83;81,36;13,92;70,28;38,94;85,88;2,53;38,46;6,52;70,15;1,12;21,74;6,52;78,36
B. Bouchouari;Saint-Étienne;RCMF, LCMF;22;2000000;2025-06-30;1662;6,17;6,55;55,37;3,09;54,75;89,91;14,89;85,82;51,61;92,03;2,76;56,86;7,74;78,32;0,54;40;6,77;84,8
W. Younoussa;Rodez ;RCMF;22;500000;2024-06-30;1607;8,46;8,46;59,6;1,79;30,86;76,23;9,69;61,27;26,6;81,89;2,46;47,73;5,66;55,45;0,67;25;5,21;65,59
E. Bardeli;Dunkerque;AMF, CF, LCMF;22;250000;;2381;6,09;4,27;58,41;2,12;38,44;83,38;11,34;71,33;35,76;86,15;1,51;52,5;4,91;71,54;0,6;25;4,91;80
A. Moueffek;Saint-Étienne;LCMF, RCMF;22;900000;2024-06-30;1312;8,51;8,57;65,6;2,13;34,64;86,53;9,4;72,99;33,54;87,93;0,75;45,45;4,18;67,21;0,75;27,27;2,33;79,41
A. Boutoutaou;Valenciennes;LW, RW, AMF;23;700000;2025-06-30;1482;6,8;7,29;55,83;2,85;28,79;74,05;8,74;64,58;24,78;79,17;2,73;48,89;4,31;66,2;0,97;37,5;4,98;68,29
Z. Davitashvili;Bordeaux;LWF, RAMF, AMF;23;2000000;2024-06-30;2087;4,87;4,96;54,78;3,15;27,25;83,39;5,95;72,46;25,62;87,37;0,69;31,25;2,33;75,93;0,39;33,33;2,16;76
M. Diop;Troyes;RB, RCMF, RDMF;23;0;;1688;6,34;4,91;57,61;0,85;33,75;86,1;9,49;77,53;31,08;89,37;2,13;57,5;3,47;76,92;0,37;42,86;4,21;65,82
G. Barès;Concarneau;LCMF, RCMF, LDMF;23;500000;2026-06-30;1395;7,35;5,42;59,52;0,77;49,1;87,25;13,74;70,89;43,23;93,13;5,29;45,12;6,26;67,01;1,03;31,25;5,23;72,84
B. Pierret;Quevilly Rouen;LCMF, DMF, CB;23;800000;;2158;10,76;8,17;63,78;1,42;46,38;84,71;15,06;70,08;38,29;90,09;7,72;60;9,01;70,83;0,67;25;6,84;78,66
B. Brahimi;Caen;CF, AMF, RW;23;1000000;2027-06-30;1472;4,71;5,26;58,14;2,14;41,27;80,44;10,52;70,35;35,1;84,67;3,73;65,57;6,3;76,7;0,92;26,67;5,44;84,27
A. Phliponeau;Concarneau;RCMF, RDMF;24;500000;;2098;8,19;9,05;59,24;0,56;57,1;89,48;16,3;81,05;52,25;92,2;4,72;61,82;6,86;80;0,3;0;6,99;74,23
T. Jabol-Folcarelli;Ajaccio;RCMF, LCMF;24;0;;2620;7,76;6,63;56,48;2,23;34,42;81,14;12,44;65,47;31,47;84,17;2,71;53,16;5,02;67,12;0,62;33,33;4,4;67,97
H. Abdelli;Angers SCO;AMF, LW, LCMF;24;1200000;2026-06-30;2525;7,59;6,27;51,14;3,21;55,6;83,72;17,18;73,03;49,22;86,97;5,1;65,73;9,84;74,64;2,42;41,18;8,77;86,18
E. Sylvestre;Grenoble;RCMF, AMF;24;500000;2024-06-30;1471;4,71;4,34;52,11;2,02;39,03;81,97;9,97;67,48;35,85;84,3;2,39;58,97;4,34;64,79;1,65;29,63;4,77;80,77
