Player;Team;Position;Age;Market value;Contract expires;Minutes played;Successful defensive actions per 90;Defensive duels per 90;Defensive duels won, %;Progressive runs per 90;Passes per 90;Accurate passes, %;Forward passes per 90;Accurate forward passes, %;Short / medium passes per 90;Accurate short / medium passes, %;Long passes per 90;Accurate long passes, %;Passes to final third per 90;Accurate passes to final third, %;Through passes per 90;Accurate through passes, %;Progressive passes per 90;Accurate progressive passes, %
Y. Chahid;Dijon;RDMF, DMF, RCMF;19;0;2025-06-30;1540;7,89;6,08;57,69;0,76;48,51;88,92;13,56;77,59;44,24;92,47;4,09;52,86;7,6;73,08;0,82;50;6,14;75,24
A. Ackra;Sochaux;DMF, RDMF, LCMF;20;0;2024-06-30;1384;11,82;10,92;64,33;0,77;42,77;86,67;11,75;77,51;39,16;89,7;3,2;60,87;6,33;70,33;0,28;25;6,4;79,35
M. Viltard;Sochaux;LDMF, LCMF, RCMF;21;400000;2025-06-30;1452;12,7;9,7;63,38;1,02;43,7;79,84;14,54;67,14;37,83;83,94;5,33;58,97;9,08;72,18;0,41;66,67;7,17;72,38
L. Bretelle;Orléans;LCMF, RCMF, DMF;21;150000;;2002;10,72;10,53;61,61;1,18;47,59;88,74;12,27;77,78;43,45;90,58;3,67;75,64;5,17;77,27;0,66;14,29;5,88;70,4
S. Renel;Niort;RCMF, RDMF;22;300000;;2320;7,14;7,39;53,55;0,61;45,97;84,02;15,5;72,14;39,43;88,54;5,77;56,64;8,07;66,5;0,69;29,41;7,99;81,82
C. Nadje;Versailles;LCMF, RCMF;22;0;;2092;5,38;5,55;56,59;1,76;30,98;83,61;8,22;69,11;28,39;87,42;1,72;47,5;3,87;74,44;0,34;62,5;3,44;73,75
T. Renaud;Cholet;RCMF, LCMF, DMF;23;350000;;2180;9,99;7,62;62,71;0,9;42,89;77,11;17,66;68,05;31,82;86,33;9,34;52,07;9,6;57,4;1,89;31,82;9,39;76,15
M. Louzif;Villefranche;RCMF, AMF;23;250000;;1475;6,56;6,69;52,38;2,42;31,46;78,14;8,47;66,17;27,26;82,48;2,23;57,14;4,2;62,12;0,96;46,67;5,03;75,95
S. Benchamma;Niort;LCMF, LDMF, LCB;23;500000;2024-06-30;2403;9,46;6,58;59,17;1,01;45,06;84,2;16,03;74,27;36,81;88,48;8,17;65,24;10,23;71,48;0,58;33,33;8,6;81,9
M. Picouleau;Nîmes;LCMF, AMF;23;500000;;2257;8,21;6,5;60,12;1,16;43,15;80,31;16,87;69,5;37,24;86,4;4,27;45,79;7,3;63,39;0,84;23,81;8,05;75,74
V. Daguin;Avranches;DMF, RCMF;24;300000;2025-06-30;1552;9,92;6,38;55,45;0,23;48,07;86,13;13,4;72,73;41,46;90,63;6,49;58,93;7,54;70;1,04;33,33;7,42;72,66
A. Kerouedan;Avranches;CF, RW, AMF;24;350000;2024-06-30;2161;4,21;4,46;45,79;1,12;21,86;77,71;5,04;60,33;17,7;83,06;2,54;63,93;3,21;58,44;1,21;27,59;3,17;80,26
B. Doukansy;Nîmes;DMF, LCMF, RCMF;24;0;2026-06-30;1738;11,19;8,23;72,33;1,04;47,07;88,45;12,69;74,69;43,76;90,89;3,21;56,45;6,27;73,55;0,52;30;6,32;76,23
B. Soumaré;Dijon;AMF, RCMF;25;900000;2024-06-30;1284;5,54;5,75;62,2;3,5;35,05;82;12,06;74,42;32,45;83,8;1,82;65,38;6,17;78,41;1,26;38,89;6,59;84,04
M. Ifnaoui;Red Star;AMF, RWF;25;0;;2067;6,33;5,44;57,27;3,36;42,97;79,75;12,41;66,53;36,15;84,95;4,35;54,55;7,32;66,89;1,83;32,43;7,57;82,35
R. Hachem;Red Star;LCMF, RCMF, LB;25;350000;2024-06-30;2072;7,39;6,34;66,14;2,15;37,34;81,02;12,43;75,1;31,55;87,03;4,09;56,1;6,54;76,34;0,6;25;5,44;77,98
B. Gomel;Nancy;LW, CF, AMF;25;350000;;1419;5,01;5,71;55,56;2,92;23,66;75,07;6,09;67,71;20,17;81,13;2,03;40,63;2,35;45,95;0,76;50;2,47;79,49
L. Pierre;Avranches;LCMF, LDMF;26;400000;;1567;9,71;8,33;58,62;1,55;35,84;72,12;13,44;50,85;28,32;80,93;6,83;40,34;8,62;45,33;1,95;20,59;5,28;75
R. Souici;Dijon;LDMF, LCMF;26;0;2024-06-30;1902;9,94;9,75;61,65;0,99;41,78;82,56;13,2;70,25;37,38;86,46;3,83;54,32;5,96;70,63;0,66;50;5,96;72,22
T. Njiké;Châteauroux;LCMF, RCMF, DMF;26;650000;2024-06-30;2032;8,16;6,91;63,09;0,65;45,93;87,59;12,14;72,52;40,78;91,48;4,87;59,05;6,58;68,31;0,56;16,67;5,61;79,34
A. Hemia;Martigues;AMF, LCMF;26;400000;;1754;5,03;4,87;56,67;1,68;32,72;80,83;8,28;64,05;28,29;86,23;3,19;49,15;5,46;72,28;0,81;26,67;4,38;72,84
M. Sy;Marignane Gignac CB;RAMF, LCMF, RCMF;26;0;2024-06-30;1372;3,85;4,13;56,67;2,89;33,1;81,29;8,12;72,88;28,42;86,68;2,61;63,16;3,92;82,46;0,48;57,14;4,06;81,36
