Player;Team;Position;Age;Market value;Contract expires;Minutes played;Successful defensive actions per 90;Defensive duels per 90;Defensive duels won, %;Aerial duels won, %;PAdj Interceptions;Crosses from left flank per 90;Dribbles per 90;Successful dribbles, %;Passes per 90;Accurate passes, %;Short / medium passes per 90;Accurate short / medium passes, %;Accurate long passes, %;Passes to final third per 90;Accurate passes to final third, %;Progressive passes per 90;Accurate progressive passes, %
Y. Koré;Paris;RCB, RB;19;900000;2025-06-30;1692;8,14;7,23;69,85;43,75;3,5;0,21;1,12;76,19;51,7;87,04;45,37;92,73;49,51;4,31;61,73;8,19;65,58
B. Traoré;Caen;RCB, LCMF;20;600000;2026-06-30;2586;9,4;5,99;63,95;55,56;6,28;0;0,77;50;41,73;90,91;38,46;94,03;54,84;2,99;68,6;3,41;60,2
J. Poha;Valenciennes;RCB, CB;20;0;;1564;9,73;4,32;82,67;60;7,18;0,06;0,46;62,5;51,1;87,61;44,02;92,68;56,56;4,66;62,96;8,52;68,92
T. Zoukrou;Troyes;RCB, RB;20;300000;2026-06-30;1887;6,96;3,62;68,42;37,29;5,64;0;0,24;80;60,24;91,61;55,09;94,89;57,01;3,1;50,77;5,44;55,26
C. Keita;Bastia;RCB, CB;20;0;;1885;9,6;7,73;70,99;40;5,36;0,1;0,72;46,67;29,98;81,85;25,78;87,22;48,24;3,39;60,56;5,59;55,56
H. Gambor;Gent;LCB, LDMF;21;400000;2024-06-30;1766;7,85;5,15;64,36;46,15;5,19;0,15;1,48;79,31;49,13;88,9;44,03;92,01;62,5;5,35;79,05;7,29;67,13
Y. Okou;Bastia;LCB;21;300000;2025-06-30;1670;7,71;3,13;72,41;50;6,85;0,11;0,49;66,67;45,54;83,31;37,13;89,84;55,19;5,12;62,11;8,35;60
A. N'Diaye;Troyes;LCB;21;1000000;2025-06-30;2361;12,47;6,71;68,18;54,9;8,88;0,04;0,91;58,33;62,48;87,8;54,66;93,17;50;5,98;56,05;8,39;61,36
N. Cissé;Quevilly Rouen;RCB, RB;23;300000;2025-06-30;1283;9,19;4,84;59,42;45,95;7,14;0,07;1,47;76,19;34,16;83,98;28,69;89,24;58,9;3,3;57,45;6,24;62,92
A. Ngouyamsa;Rodez ;RCB, RWB;23;500000;;1897;9,44;8,07;64,12;45,45;5,32;0,09;2,66;60,71;34,02;76,57;27,56;85,54;41,49;5,65;63,03;7,07;65,1
