Player;Team;Position;Age;Market value;Contract expires;Minutes played;Successful defensive actions per 90;Defensive duels per 90;Defensive duels won, %;Aerial duels won, %;PAdj Interceptions;Crosses from left flank per 90;Dribbles per 90;Successful dribbles, %;Passes per 90;Accurate passes, %;Short / medium passes per 90;Accurate short / medium passes, %;Accurate long passes, %;Passes to final third per 90;Accurate passes to final third, %;Progressive passes per 90;Accurate progressive passes, %
J. Smith;Avranches;RCB;21;100000;2026-06-30;1891;9,61;6,38;71,64;48,21;6,19;0;1,95;75,61;51,12;87,71;46,4;91,49;50,51;4,47;67,02;8,28;67,82
D. Moussadek;Villefranche;CB;21;0;2025-06-30;2012;10,02;5,99;74,22;41,9;6,94;0;0,61;53,85;37,23;89,69;34,28;92,76;53,97;1,5;78,13;4,26;47,25
B. M'bondo;Niort;RCB;22;0;;2393;9,07;5,71;76,03;50,91;6,26;0,04;0,74;63,16;41,11;89,64;38,3;92,55;50,75;3,99;75,49;7,5;75
M. Lemeray;Avranches;LCB;22;300000;2025-06-30;1845;8,1;4,54;60,22;43,75;6,14;0;0,05;0;50,78;90,87;44,39;95,49;58,78;3,66;60;6,49;67,67
N. Monzango;Cholet;LCB;22;300000;2024-06-30;1832;8,65;6,63;71,11;40;4,86;0,15;0,29;100;50,6;87,67;42,89;94,27;51,95;5,45;55,86;7,81;71,07
L. Quenabio;Marignane Gignac CB;RCB;22;0;2024-06-30;2418;13,72;9,24;69,46;65,38;8,72;0;1,28;78,79;61,28;90,41;54,43;93,68;64,74;5,88;70,39;9,7;71,31
M. Meyapya;Red Star;RCB;23;0;;2078;8,83;6,5;63,5;69,81;6,68;0,05;1,57;72,73;52,69;86,76;47,18;89,44;63,96;6,55;70,29;10,3;71,89
S. Benchamma;Niort;LCMF, LDMF, LCB;23;500000;2024-06-30;2403;9,46;6,58;59,17;63,75;6,97;0,04;0,93;33,33;45,06;84,2;36,81;88,48;65,24;10,23;71,48;8,6;81,9
M. Aljić;Épinal;RCB, LCB;23;0;2024-06-30;1825;11,15;6,95;70,21;56,38;6,91;0;0,44;77,78;36,89;83,16;29,64;90,52;53,06;5,57;55,75;8,73;73,45
A. Vitelli;Sochaux;RCB;23;300000;;1815;9,19;5,67;71,84;58,7;6,86;0,11;0,39;71,43;53,06;89,52;47,39;94,08;52,53;6,88;68;6,83;70,16
S. Bouzamoucha;Rouen;RCB;23;0;2024-06-30;2082;10,63;6,44;81,21;52,94;7,05;0,04;0,3;57,14;55,94;89,88;49,41;94,66;54;4,88;71,68;7,39;61,99
M. Rabuel;Avranches;RCB, CB, LCB;23;0;;1804;9,43;5,19;72,12;45,59;7;0;0,2;25;36,22;89,26;31,88;93,9;54,65;3,09;69,35;4,64;64,52
L. Pellegrini;Nancy;CB;23;300000;2024-06-30;1821;8,9;4,79;62,89;51,9;6,82;0,1;1,33;70,37;39,44;84,84;32,87;92,48;46,56;6,23;55,56;7,12;68,06
J. Kouadio;Villefranche;RCB, RWB;24;0;2024-06-30;2068;12,74;9,51;64,11;44,78;7,76;0;2;54,55;40,27;79,1;34,35;84,64;62,5;6,05;66,17;9,05;72,36
L. Camelo;GOAL FC;LCB, CB;25;0;2024-06-30;1485;8,3;6,61;65,14;66,02;4,68;0,06;0,3;60;42,48;86,16;34,48;94,2;51,91;5,76;54,74;6,97;65,22
K. Guessoum;Etar;RCB;25;700000;2024-06-30;1441;10,43;6,87;75,45;45,45;5,62;0;0,94;40;38,41;85,53;33,6;91,08;45,95;3,37;50;6,81;72,48
C. Da Silva;Villefranche;RCB, LCB, CB;25;0;;1815;9,03;5,59;73,21;45,24;6,13;0,1;0,65;61,54;42,68;83,63;37,39;88,92;46;6,49;58,46;7,09;61,97
J. Santini;Cholet;RB, RCB;25;0;2024-06-30;1809;10,68;9,37;69,35;58,46;5,59;0,1;4,18;57,83;39,86;81,04;34,32;86,78;54,93;6,3;68,8;8,97;74,16
M. Laurent;Épinal;LCB;26;0;2024-06-30;1422;12,09;7,59;70,83;51,16;8,04;0,06;0,13;0;37,15;79,05;30,57;87,37;40,78;5,06;47,5;6,71;49,06
W. Diouf;Nîmes;CB, RCB;26;200000;;1929;11,52;6,21;71,43;73,81;7,54;0;0,19;75;46,28;88,51;40,64;91,62;66,67;3,36;58,33;6,67;60,14
