Player;Team;Position;Age;Market value;Contract expires;Minutes played;PAdj Interceptions;Passes per 90;Accurate passes, %;Accurate forward passes, %;Accurate short / medium passes, %;Accurate long passes, %;Save rate, %;Aerial duels per 90
O. Nkambadio;Paris;GK;21;150000;;2003;2,2;32,04;90,18;79,14;98,13;66,48;73,53;0,45
D. Alemdar;Troyes;GK;21;4000000;2026-06-30;2515;1,91;25,59;88,11;74,49;98,82;62,75;72,81;0,72
Y. Fofana;Angers SCO;GK;23;2500000;2026-06-30;2381;1,92;19,2;88,58;76,92;99,42;65,22;78,99;0,3
R. Strączek;Bordeaux;GK;25;700000;2026-06-30;1585;1,64;26,97;92,63;85,46;98,48;64,56;69,84;0,28
G. Larsonneur;Saint-Étienne;GK;27;3000000;2025-06-30;2352;1,84;22,04;84,38;74,22;99,15;61,16;81,82;0,42
A. Mandréa;Caen;GK;27;1500000;2027-06-30;2446;1,25;16,96;82,65;71,26;99,28;57,69;67,92;0,4
J. Louchet;Valenciennes;GK;27;150000;;2159;2,83;22,84;82,3;73,57;98,73;60,34;72,9;0,83
B. Kamara;Pau;GK;27;800000;;2765;2,58;24,02;88,62;81,57;98,87;73,56;70;0,49
F. Escales;Annecy;GK;28;600000;;2733;2,11;16,63;79,01;67,93;94,35;56,37;68,14;0,26
E. Basilio;Guingamp;GK;29;800000;2026-06-30;2856;2,11;14,59;74,73;68,72;96,48;65,11;67,37;0,66
L. Mpasi;Rodez ;GK;29;700000;2025-06-30;1784;2,37;18,87;89,57;82,78;97,67;72,41;63,24;0,3
E. Salles;Concarneau;GK;30;250000;2024-06-30;2868;1,6;25,86;89,08;79,47;98,46;66,67;69,47;0,44
D. Léon;Auxerre;GK;31;600000;2025-06-30;2845;2,47;24,61;82,9;73,11;98,23;61,77;72,28;0,44
M. Michel;Ajaccio;GK;32;400000;;1881;1,5;16,36;88,89;83,17;100;77,78;57,41;0,43
M. Samassa;Laval;GK;34;250000;;2656;1,64;16,43;78,76;70,99;97,56;65,47;71,72;0,47
K. Johnsson;Bordeaux;GK;34;500000;;1296;2,27;30,9;86,97;73,82;98,44;57,6;73,53;0,14
B. Maubleu;Grenoble;GK;34;450000;;2450;1,55;19,43;86,77;76,89;99,14;63,54;72,81;0,44
B. Leroy;Quevilly Rouen;GK;34;600000;;2675;2,85;18,91;86,12;80,11;97,86;74,73;62,64;0,34
J. Placide;Bastia;GK;36;250000;2025-06-30;2368;2,79;31,39;82,93;73,75;97,87;68,09;72,34;0,27
R. Gurtner;Amiens SC;GK;37;300000;2024-06-30;2683;0,97;10,16;87,79;80,79;98,43;70,91;75,51;0,17
A. Balijon;Dunkerque;GK;40;50000;;2290;2,23;25,62;84,66;71,26;98,25;69,68;64,29;0,24
