Player;Team;Position;Age;Market value;Minutes played;Passes per 90;Accurate passes, %;Accurate forward passes, %;Accurate short / medium passes, %;Accurate long passes, %;Save rate, %
O. Nkambadio;Paris;GK;21;150000;2003;32,04;90,18;79,14;98,13;66,48;73,53
D. Alemdar;Troyes;GK;21;4000000;2515;25,59;88,11;74,49;98,82;62,75;72,81
Y. Fofana;Angers SCO;GK;23;2500000;2381;19,2;88,58;76,92;99,42;65,22;78,99
R. Strączek;Bordeaux;GK;25;700000;1585;26,97;92,63;85,46;98,48;64,56;69,84
G. Larsonneur;Saint-Étienne;GK;27;3000000;2352;22,04;84,38;74,22;99,15;61,16;81,82
A. Mandréa;Caen;GK;27;1500000;2446;16,96;82,65;71,26;99,28;57,69;67,92
J. Louchet;Valenciennes;GK;27;150000;2159;22,84;82,3;73,57;98,73;60,34;72,9
B. Kamara;Pau;GK;27;800000;2765;24,02;88,62;81,57;98,87;73,56;70
F. Escales;Annecy;GK;28;600000;2733;16,63;79,01;67,93;94,35;56,37;68,14
E. Basilio;Guingamp;GK;29;800000;2856;14,59;74,73;68,72;96,48;65,11;67,37
L. Mpasi;Rodez ;GK;29;700000;1784;18,87;89,57;82,78;97,67;72,41;63,24
E. Salles;Concarneau;GK;30;250000;2868;25,86;89,08;79,47;98,46;66,67;69,47
D. Léon;Auxerre;GK;31;600000;2845;24,61;82,9;73,11;98,23;61,77;72,28
M. Michel;Ajaccio;GK;32;400000;1881;16,36;88,89;83,17;100;77,78;57,41
M. Samassa;Laval;GK;34;250000;2656;16,43;78,76;70,99;97,56;65,47;71,72
K. Johnsson;Bordeaux;GK;34;500000;1296;30,9;86,97;73,82;98,44;57,6;73,53
B. Maubleu;Grenoble;GK;34;450000;2450;19,43;86,77;76,89;99,14;63,54;72,81
B. Leroy;Quevilly Rouen;GK;34;600000;2675;18,91;86,12;80,11;97,86;74,73;62,64
J. Placide;Bastia;GK;36;250000;2368;31,39;82,93;73,75;97,87;68,09;72,34
R. Gurtner;Amiens SC;GK;37;300000;2683;10,16;87,79;80,79;98,43;70,91;75,51
A. Balijon;Dunkerque;GK;40;50000;2290;25,62;84,66;71,26;98,25;69,68;64,29
