Player;Team;Position;Age;Market value;Minutes played;Passes per 90;Accurate passes, %;Accurate forward passes, %;Accurate short / medium passes, %;Accurate long passes, %;Save rate, %
T. Paradowski;Nîmes;GK;19;0;1843;15,68;84,74;74,72;97,91;65,63;69,44
R. Risser;Dijon;GK;19;0;2117;21,89;90,29;84,03;97,42;69,29;62,5
M. Patouillet;Sochaux;GK;20;0;1347;18,66;88,84;80,15;98,24;66,67;72,55
O. Ba;Cholet;GK;21;400000;1382;21,36;84,76;75,27;99,01;63,11;67,74
S. Péan;Villefranche;GK;24;400000;2336;14,75;81,79;70,81;98,22;55,94;70,54
A. Herbin;Marignane Gignac CB;GK;24;0;1920;33,74;85,13;70,81;98,1;56,6;75,26
N. Kocik;Le Mans;GK;25;300000;2033;21,78;88,82;80,41;98,9;60,63;67,12
H. Konaté;Châteauroux;GK;29;250000;2142;16,3;80,15;71,31;97,06;61,75;60,98
V. Viot;Orléans;GK;29;350000;2339;20,13;89,07;81,4;98,86;66,89;68,24
Q. Beunardeau;Red Star;GK;30;375000;2393;24,38;89,39;78,85;98,3;67,48;75,9
A. Maraval;Rouen;GK;30;400000;2522;25,16;90,92;82,84;98,78;72,99;79,41
M. Sourzac;Nancy;GK;32;250000;1613;15,4;89,13;82,27;99,44;69,79;72,88
S. Ben Boina;Épinal;GK;32;100000;1787;16,07;80,88;73,13;97,08;62,59;70,45
S. Rénot;Versailles;GK;34;200000;2504;19,73;84,15;72,13;98,71;65,27;73,58
A. Philippon;GOAL FC;GK;34;0;2145;26,81;89,36;80,26;97,6;68,72;64,71
P. Delecroix;Niort;GK;35;200000;2514;19,79;81,24;74,93;96,72;65,12;69,39
J. Aymes;Martigues;GK;35;150000;1757;17,22;89,03;84,24;97,76;68,75;80
A. Beuve;Avranches;GK;35;150000;1703;27,11;86,35;78,45;97,54;68,11;67,42
