Player;Team;Position;Age;Contract expires;Minutes played;Goals;Foot;PAdj Interceptions;Successful attacking actions per 90;Goals per 90;xG per 90;Shots per 90;Shots on target, %;Goal conversion, %;Successful dribbles, %;Offensive duels won, %;Touches in box per 90;Accelerations per 90;Shot assists per 90
A. Daho;Sochaux;LW, LAMF, LWF;20;;1547;3;right;2,98;5,82;0,17;0,15;1,79;42,86;10,714;52,9;43,61;2,94;1,28;1,02
D. Jean;Avranches;LW, LWF, LAMF;21;;1694;2;right;1,9;3,67;0,11;0,27;1,7;21,88;6,25;49,55;39,04;2,55;1,54;1,01
M. Baaloudj;Versailles;CF, LW, LAMF;23;;1373;7;right;2,49;4,85;0,46;0,34;2,88;45,45;15,909;53,85;39,62;3,21;0,46;0,92
A. Kerouedan;Avranches;CF, RW, AMF;24;2024-06-30;2161;12;right;2,67;3,08;0,5;0,48;2,83;30,88;17,647;55;48,09;3,08;0,29;0,96
A. Hemia;Martigues;AMF, LCMF;26;;1754;6;right;2,64;3,62;0,31;0,35;2,43;48,89;13,333;60,78;49,19;2,11;0,59;0,7
D. Michel;Sochaux;RAMF, LAMF;26;;1381;4;right;4,49;2,01;0,26;0,22;1,56;47,62;14,286;45,45;32,65;2,97;0,89;0,74
D. Loppy;Rouen;CF, LW, LWF;26;2024-06-30;1453;2;right;2,58;3,41;0,12;0,24;1,18;52,63;10,526;48,44;36,36;3,34;0,5;0,74
Alexis Gonçalves;GOAL FC;LWF, LW, CF;26;2024-06-30;1357;4;right;0,76;1,99;0,27;0,23;1,46;40,91;18,182;35,56;23,93;2,45;0,66;0,6
Z. Fdaouch;Dijon;LAMF, LWF, LW;27;;1982;7;right;2,76;5,49;0,32;0,26;2,13;44,68;14,894;51,13;38,46;3,68;1,59;1,23
L. Goujon;Orléans;RCMF, LCMF, AMF;28;;1896;1;right;5,62;1,99;0,05;0,15;1,89;26,32;2,632;54,55;42,68;1,59;0,15;0,5
B. Touré;Marignane Gignac CB;LW, LAMF, LWF;29;2024-06-30;1650;3;right;3,12;3,93;0,16;0,12;1,58;41,38;10,345;59,3;41,95;2,62;1,36;0,55
Y. Le Méhauté;Le Mans;CF, AMF, LCMF;29;;1414;3;right;2,81;2,16;0,19;0,11;0,76;58,33;25;46,34;36,46;1,08;0,19;1,27
L. Nangis;Nancy;RW, LWF;30;2024-06-30;1422;0;right;4,42;3,54;0;0,1;1,14;44,44;0;47,3;42,62;1,46;0,89;0,95
O. Abdeldjelil;Cholet;CF, AMF;30;;1374;4;right;3,36;1,59;0,26;0,32;1,85;39,29;14,286;23,53;20,86;2,18;0,33;0,33
K. Hoggas;Sochaux;AMF, LCMF, CF;32;;1668;7;right;3,39;2,39;0,38;0,29;1,39;56;28;53,85;31,53;2,17;0,33;2,45
K. Tlili;Martigues;CF, LAMF, RAMF;34;;1638;5;right;2,62;5,08;0,27;0,17;1,73;60;16,667;50,59;34,19;1,79;0,46;1,38
K. Fortuné;Orléans;CF, AMF;34;2024-06-30;1663;7;right;1,82;3,89;0,38;0,32;2,12;29,73;16,216;45,24;37,2;2;0,4;1,49
S. Chéré;Épinal;AMF, LCMF, RCMF;37;2024-06-30;2072;0;right;4,9;1,26;0;0,01;0,3;0;0;42,86;32,6;0,43;0,22;0,61
