Player;Team;Position;Age;Market value;Contract expires;Minutes played;Successful defensive actions per 90;Defensive duels per 90;Defensive duels won, %;Aerial duels won, %;PAdj Interceptions;Successful attacking actions per 90;Crosses from left flank per 90;Crosses to goalie box per 90;Dribbles per 90;Successful dribbles, %;Offensive duels per 90;Offensive duels won, %;Progressive runs per 90;Accelerations per 90;Passes per 90;Accurate passes, %;Accurate forward passes, %;Short / medium passes per 90;Accurate short / medium passes, %;Accurate long passes, %;xA per 90;Passes to final third per 90;Accurate passes to final third, %;Deep completed crosses per 90;Accurate progressive passes, %
Y. Barry;Annecy;LB, LCMF, RCMF;21;100000;;1522;8,93;9,22;55,77;50,72;4,53;3,37;1,12;0,12;4,14;64,29;8,99;49,34;2,72;0,71;29,03;73,93;66,83;24,48;79,95;48,21;0,09;5,14;68,97;0,3;72,16
A. Cherni;Laval;LB, LWB;22;0;;2647;10,4;7,62;62,5;54,02;6,14;3,67;4,11;0,37;3,2;60,64;6,63;45,64;2,07;0,78;35,63;73,28;64,8;27,88;82,44;50,44;0,07;3,23;72,63;1,36;64,34
I. Boura;Troyes;LB, RB;23;1200000;2027-06-30;2078;10,96;7,54;62,64;44,23;6,71;2,17;1,47;0,26;2,6;58,33;6,67;44,81;1,65;0,74;45,95;84,73;71,08;39,93;90,78;49,52;0,03;4,24;59,18;0,43;61,9
S. Loric;Quevilly Rouen;LB, RB;23;500000;2024-06-30;1389;12,51;9,59;62,84;62,32;7,64;2,98;2,14;0,39;2,92;62,22;6,09;47,87;2,33;1,04;32,98;73,87;69,76;26,89;81,2;53,33;0,05;4,28;60,61;0,91;70,87
J. Gaudin;Paris;LB, LWB;23;600000;;2499;11,09;7,92;65;54,02;7,97;2,3;3,03;0,22;1,76;63,27;4,61;53,13;0,83;0,22;49,48;77,66;68,59;39,15;86,57;47,85;0,1;7,53;62,2;1,01;73,91
M. Mahop;Annecy;LB;24;200000;;1871;10,15;6,83;64,08;44,83;6,67;2,45;2,31;0,24;2,6;59,26;5,05;51,43;1,64;0,34;35,74;69,72;65,07;26,65;78,52;45,45;0,05;8,27;59,3;0,87;72,84
Y. Bilingi;Dunkerque;RB, LB, RCB;25;350000;;2717;8,28;6,29;58,95;46,67;5,83;0,96;0,1;0,03;0,99;53,33;3,11;29,79;0,99;0,46;38,09;85,13;76,43;33,79;89,8;54,9;0,02;4,04;68,85;0,23;64,74
A. Georgen;Concarneau;LB, RB;25;350000;;1944;11,67;8,24;68,54;47,89;7,29;2,13;1,25;0,23;3,19;47,83;6,34;39,42;1,9;1,48;47,5;82,55;75,2;39,72;88,58;58,59;0,08;4,44;70,83;0,65;61,21
K. Kaïboué;Amiens SC;LB, LCMF, LDMF;25;800000;2024-06-30;1946;11,7;8,97;62,89;52,11;5,91;2,13;1,62;0,05;1,16;76;4,62;48;1,06;0,37;42,64;77,44;66,5;32,56;86,79;51,98;0,13;8,28;62,57;0,55;76,6
G. Mensah;Auxerre;LB;25;2000000;2025-06-30;1672;10,87;7,97;64,86;48,65;7,31;3,12;4,9;0,59;2,26;47,62;6,94;34,11;2,58;0,75;56,41;82,54;76,97;47,48;89,68;52,5;0,12;7;75,38;1,67;82,17
A. Abdallah;Rodez ;LWB, LB;26;600000;2025-06-30;1842;7,28;5,72;57,26;32;4,88;3,27;4,64;0,44;1,76;66,67;3,52;52,78;2,15;1,03;34,4;74,01;59,59;25,85;85,44;42,39;0,12;4,69;58,33;1,37;75,8
L. Pétrot;Saint-Étienne;LB, LCB;26;700000;2025-06-30;2216;10,64;7,35;61,33;51,92;7,11;1,18;1,18;0,12;0,97;66,67;2,4;42,37;0,45;0,12;50,16;81,38;72,37;43,25;87,79;45,07;0,01;6,46;69,18;0,28;65,23
