Player;Team;Position;Age;Market value;Contract expires;Minutes played;Successful defensive actions per 90;Defensive duels per 90;Defensive duels won, %;Aerial duels won, %;PAdj Interceptions;Successful attacking actions per 90;Crosses from left flank per 90;Crosses to goalie box per 90;Dribbles per 90;Successful dribbles, %;Offensive duels per 90;Offensive duels won, %;Progressive runs per 90;Accelerations per 90;Passes per 90;Accurate passes, %;Accurate forward passes, %;Short / medium passes per 90;Accurate short / medium passes, %;Accurate long passes, %;xA per 90;Passes to final third per 90;Accurate passes to final third, %;Deep completed crosses per 90;Accurate progressive passes, %
G. Tayot;Nancy;LWB, LB;20;0;;1763;9,55;7,81;64,71;51,85;5,44;2,45;3,11;0,15;2,09;51,22;4,08;38,75;1,68;0,77;32,01;73,84;66,03;24,86;83,98;46,59;0,07;4,19;59,76;0,87;65,12
S. Fofana;Avranches;LB, LWB;20;0;;2184;7,46;5,73;67,63;68,97;4,64;2,35;2,35;0,16;2,47;58,33;5,73;48,2;1,44;0,7;36,39;80,86;68,61;30,95;88,15;46,84;0,17;4,82;64,1;0,62;73,49
M. Ouattara;Cholet;LW, LB, RW;21;0;;1369;6,05;5,77;48,78;22,22;4,02;5,34;2,46;0,77;5,98;62,35;13,01;41,62;2,6;1,27;32,84;78,8;66,28;27,42;87,18;50;0,17;2,25;71,88;1,27;66,07
M. Altıkulaç;Versailles;LB, LWB;22;200000;2026-06-30;1682;10,49;8,56;67,5;40,82;5,54;2,62;3,42;0,32;2,3;55,81;5,08;33,68;3,8;0,54;42,81;78,75;69,08;34,3;88,61;42,11;0,07;6,53;68,03;1,23;74,72
L. Njoh;Le Mans;LB;22;0;;1358;10,34;9,81;60,81;32;5,42;2,52;2,58;0,4;2,05;58,06;4,44;43,28;2,12;1,33;41,75;76,35;69,23;33,73;85,07;38,82;0,07;6,96;65,71;0,86;72,84
M. Mion;Rouen;LB, LWB;23;0;2024-06-30;1665;10,27;7,89;68,49;56,41;6,14;1,08;1,78;0,11;1,35;40;4,54;47,62;1,78;0,92;32,76;75,91;69,41;28,54;80,87;57,45;0,03;3,68;63,24;0,27;62,81
M. Expérience;Cholet;LB, LWB, RB;25;350000;;1687;11,21;7,95;65,96;39,39;6,49;1,69;0,73;0,28;1,92;50;5,92;46,67;1,24;0,85;35,79;84,41;79,02;31,45;88,71;59,26;0,01;4,73;71,43;0,51;75,61
I. Umbdenstock;Épinal;LB, LWB;25;250000;2024-06-30;2083;11,23;8,51;57,36;53,13;7,04;1,6;1,86;0,22;1,25;72,41;3,28;51,32;0,78;0,35;32,49;72,87;65,13;25,88;80,47;47,75;0,03;4,54;57,14;0,52;67,02
A. Thiam;Cholet;LB;25;200000;2024-06-30;1412;8,37;6,2;62,64;44,83;5,77;1,57;2,66;0,2;1,16;58,82;3,13;54,35;0,68;0,34;37,92;77,92;68,26;29;88,97;48,39;0,01;5,51;64,2;0,54;63,43
A. Djaha;Martigues;RB, LB;25;300000;2024-06-30;1808;11,53;9,38;59,78;50;7,45;1,47;0;0,21;1,57;56,67;5,19;42,42;0,58;0,16;30,28;81,31;75,09;26,19;86;52,46;0,01;4,66;70,79;0,47;71,07
R. Ponti;Orléans;LWB, LW, LB;25;350000;;1665;8,29;5,26;67,39;40,48;6,98;4,06;4,34;0,63;3,26;50,88;6,51;46,49;2,17;1,09;37,09;77,5;71,59;30,4;84,02;54,76;0,2;3,77;83,33;1,83;75,78
R. Hachem;Red Star;LCMF, RCMF, LB;25;350000;2024-06-30;2072;7,39;6,34;66,14;42;3,88;2,05;1,45;0,2;2,05;56,1;7,59;39,47;2,15;0,65;37,34;81,02;75,1;31,55;87,03;56,1;0,1;6,54;76,34;0,5;77,98
Y. Zouaoui;Martigues;LB;25;300000;2024-06-30;1983;7,13;4,86;68,22;51,43;4,76;2,54;2;0,32;2,18;66,67;5,26;50,86;1,68;0,91;34,13;73,94;62,32;26,14;83,51;46,4;0,15;4,81;50;0,73;71,35
C. Makutungu;Dijon;LB;26;150000;;2158;10,43;7,67;75,54;55,1;5,81;2;1,04;0,13;2,17;69,23;6,09;50,68;1,96;0,54;46,79;82,53;73,78;40,33;87,07;55,64;0,03;8,22;73,1;0,42;77,34
N. Tanard;GOAL FC;LWB, LB;26;0;2024-06-30;1904;8,46;6,05;61,72;42,19;5,03;1,89;2,41;0,09;1,56;57,58;4,07;51,16;0,57;0,05;30,49;69,3;59,15;21,37;80,97;46,21;0,05;6,48;56,93;0,76;67,21
D. Luvualu;Épinal;RB, LB;27;0;2024-06-30;1410;10,91;8,94;65;44,12;5,97;1,4;0,38;0;1,34;47,62;4,28;46,27;0,83;0,13;30,64;76,04;66,82;25,4;82,66;40,98;0,07;4,4;60,87;0,7;69,92
N. Diallo;Nîmes;LB, LWB;27;0;2026-06-30;1664;8,92;8;58,11;56,82;4,63;2,92;3,62;0,27;2,7;68;5,84;49,07;2,38;0,59;38,46;78,48;74,52;31,05;88,33;47,3;0,07;5,3;74,49;0,87;72,41
L. Diakhaby;Versailles;LCB, LB;28;200000;;1518;7,17;5,87;55,56;47,83;4,72;0,65;0,71;0,06;0,12;100;1,19;65;1,01;0,12;42,45;85,34;77,41;35,51;90,82;60,38;0;5,69;68,75;0,18;77,5
H. Abderrahmane;Marignane Gignac CB;LB;29;0;;2060;8,09;6,03;59,85;50,63;5,26;2,24;3,38;0,32;1,64;58,33;3,52;46,75;2,06;0,59;47,38;80,14;72,58;39,06;86,55;58,77;0,05;5,53;68,6;1,32;68,12
C. Bassin;Rouen;LCB, LB;29;0;2024-06-30;1888;11,35;7,1;74,5;58,7;7,44;1,33;1,24;0,14;0,81;52,94;2,43;47,06;1,14;0,43;50,67;83,35;74,58;41,62;90,03;54,82;0,04;7,2;64,24;0,43;66,81
H. Vargas-Rios;Le Mans;LB, LW;29;300000;;1445;10,09;8,1;61,54;45,83;6,55;1,81;2,06;0,31;0,93;73,33;2,87;58,7;1,81;0,44;50,7;81,7;70,63;44,16;86,32;54,29;0,19;7,66;68,29;0,93;83,52
R. Duterte;Châteauroux;LB, LWB;29;300000;;1580;9,72;7,91;58,02;30;5,68;1,93;1,93;0,3;1,93;53,13;5,74;42,11;0,91;0,48;29,48;79,71;68,63;24,28;86,82;55,36;0,04;3,14;69,23;0,6;71,43
A. Mbengue;Châteauroux;LCB, LB;30;350000;;1733;8,56;6,53;66,39;28,13;5,07;1,21;0,88;0,11;0,82;86,67;2,63;47,92;0,93;0,22;38,52;73,93;56,93;27,99;88,04;37,85;0,01;9,71;44,07;0,22;66,88
M. Jean-Pierre;Orléans;LCB, LB;31;250000;;1692;9,27;7,02;68,8;49,18;6,31;1,07;0,79;0;1,4;44;3,54;50,79;1,52;0,22;44,94;83,38;73,57;36,91;89,5;56,59;0,01;6,63;63,56;0,34;73,99
Q. Bernard;Niort;LB, LCB;34;400000;;2514;11,44;7,43;65;58,43;7,97;1,52;1,78;0,15;0,71;63,16;1,75;53,19;0,67;0,04;49,42;79,56;75,21;35,53;87,77;59,45;0,05;12,55;64,79;0,97;83,62
