Player;Team;Age;Market value;Successful defensive actions per 90;Defensive duels per 90;Defensive duels won, %;Aerial duels won, %;PAdj Interceptions;Passes per 90;Accurate passes, %;Lateral passes per 90;Accurate lateral passes, %;Short / medium passes per 90;Accurate short / medium passes, %;Long passes per 90;Accurate long passes, %;Passes to final third per 90;Accurate passes to final third, %;Progressive passes per 90;Accurate progressive passes, %
Y. Chahid;Dijon;19;0;7,89;6,08;57,69;26,32;4,69;48,51;88,92;21,16;95,3;44,24;92,47;4,09;52,86;7,6;73,08;6,14;75,24
A. Ackra;Sochaux;20;0;11,82;10,92;64,33;52,38;5,59;42,77;86,67;18,85;94,83;39,16;89,7;3,2;60,87;6,33;70,33;6,4;79,35
M. Viltard;Sochaux;21;400000;12,7;9,7;63,38;68,18;8,78;43,7;79,84;19,94;88,36;37,83;83,94;5,33;58,97;9,08;72,18;7,17;72,38
L. Bretelle;Orléans;21;150000;10,72;10,53;61,61;32,35;5,29;47,59;88,74;20,17;94,64;43,45;90,58;3,67;75,64;5,17;77,27;5,88;70,4
S. Renel;Niort;22;300000;7,14;7,39;53,55;17,65;4,18;45,97;84,02;18,77;91,18;39,43;88,54;5,77;56,64;8,07;66,5;7,99;81,82
T. Renaud;Cholet;23;350000;9,99;7,62;62,71;43,48;6,55;42,89;77,11;15,85;83,7;31,82;86,33;9,34;52,07;9,6;57,4;9,39;76,15
S. Benchamma;Niort;23;500000;9,46;6,58;59,17;63,75;6,97;45,06;84,2;21,17;90,63;36,81;88,48;8,17;65,24;10,23;71,48;8,6;81,9
V. Daguin;Avranches;24;300000;9,92;6,38;55,45;56,6;7,8;48,07;86,13;21,51;91,37;41,46;90,63;6,49;58,93;7,54;70;7,42;72,66
M. Robin;Martigues;24;300000;8,52;8,03;61,21;45,45;4,31;28,8;79,09;9,42;84,56;25,13;82,92;2,7;56,41;4,71;69,12;5,47;74,68
B. Doukansy;Nîmes;24;0;11,19;8,23;72,33;43,4;6;47,07;88,45;19,78;93,46;43,76;90,89;3,21;56,45;6,27;73,55;6,32;76,23
L. Pierre;Avranches;26;400000;9,71;8,33;58,62;52,63;6,02;35,84;72,12;12,64;80,91;28,32;80,93;6,83;40,34;8,62;45,33;5,28;75
R. Souici;Dijon;26;0;9,94;9,75;61,65;51,39;5,26;41,78;82,56;16,32;90,43;37,38;86,46;3,83;54,32;5,96;70,63;5,96;72,22
T. Njiké;Châteauroux;26;650000;8,16;6,91;63,09;54,41;3,74;45,93;87,59;20,39;91,82;40,78;91,48;4,87;59,05;6,58;68,31;5,61;79,34
T. Bouriaud;Nancy;27;200000;12,96;11,02;65,93;45,45;5,86;35,61;83,16;11,81;94,36;31,01;85,94;4,3;63,38;5,75;66,32;6,12;70,3
R. Pereira De Sa;Sochaux;27;500000;7,77;6,27;64,13;54,55;4,75;41,73;91,01;17,39;96,86;39,48;92,06;1,98;75,86;6,75;83,84;6,41;79,79
R. Goteni;Marignane Gignac CB;28;200000;11,65;10,96;57,23;60,56;6,4;37,37;80,51;14,25;87,56;33,63;85,5;3,42;37,04;5,26;59,04;5,07;52,5
R. Basque;Versailles;28;350000;8,79;7,41;67,05;47,37;4,65;39,43;81,85;16,2;89,68;33,69;87,15;5,23;52,46;8,1;68,78;7,29;68,24
F. Dembi;Red Star;29;0;10,64;9,22;66,67;63,27;6,72;48,7;85,49;20,36;91,02;43,3;89,64;4,82;53,45;7,65;70,65;8,73;81,9
S. Belloumou;Martigues;29;100000;11,64;9,73;54,73;53,85;8,13;53,64;81,99;21,96;91,32;43,19;86,76;9,99;64,47;9,01;69,34;10,98;75,45
C. Benhamza;Marignane Gignac CB;31;0;8,93;7,2;60,47;44,83;5,83;51,7;80,24;17,14;87,3;43,38;85,59;7,98;53,85;6,48;63,79;7,7;66,67
J. Eickmayer;Red Star;31;300000;6,08;4,79;54,12;55;4,93;33,29;84,43;14,02;90,36;27,71;90,65;5,29;54,26;7,21;65,63;5,18;78,26
O. Diampo Sengele;Marignane Gignac CB;31;0;7,33;7,62;55,14;34,04;3,75;40,3;77,74;13,31;85,03;34,68;82,55;5,27;50;6,69;61,7;8,33;72,65
J. Marié;Dijon;32;600000;12,48;9,42;64,9;25;6,25;44,56;79,27;15,67;88,45;39,51;82,62;4,24;60,29;7,24;67,24;5,93;67,37
J. Colin;Épinal;33;0;11,01;6,98;59,71;34,92;7,4;39,4;74,62;14,22;83,39;30,75;84,48;7,79;43,23;8,74;56,9;8,39;64,07
F. Kembolo;Martigues;33;200000;11,18;6,45;67,35;32,35;7,16;35,79;83,27;12,63;92,71;32,04;86,04;3,62;60;4,61;67,14;5,79;68,18
M. Benzia;Rouen;33;0;10,26;6,83;63,39;39,71;7,38;50,41;87,27;24,33;92,94;45,19;91,33;5,04;52,59;5,82;67,31;6,31;64,5
R. Sergio;Villefranche;36;200000;6,67;4,56;63,1;50;4,36;51,81;83,25;19,69;88,71;42,37;91,04;8,03;50,68;9,01;63,86;8,95;81,82
M. Coutadeur;Le Mans;37;250000;6,64;4,13;57,47;36,84;5,55;60,08;87,92;24,89;92,95;53,35;91,82;6,07;59,38;6,78;74,83;6,73;73,24
