Player;Team;Position;Age;Contract expires;Minutes played;Goals;Foot;PAdj Interceptions;Successful attacking actions per 90;Goals per 90;xG per 90;Crosses to goalie box per 90;Offensive duels won, %;Touches in box per 90;Progressive runs per 90;Accelerations per 90;xA per 90;Shot assists per 90;Key passes per 90;Passes to penalty area per 90;Deep completions per 90;Deep completed crosses per 90
K. Dong;Troyes;RW, RWF, LAMF;19;;1813;1;right;2,82;4,42;0,05;0,09;0,4;47,66;2,48;2,88;1,04;0,13;0,79;0,4;1,69;0,99;0,55
A. Hountondji;Rodez ;CF, RWF;21;2025-06-30;1844;12;right;1;4,34;0,59;0,44;0,59;38,18;4,88;2,29;0,68;0,16;0,54;0,34;1,9;0,73;0,63
L. Delaurier-Chaubet;Quevilly Rouen;RW, RWF, CF;21;2026-06-30;1604;4;left;3,47;4,38;0,22;0,23;0,17;37,21;2,47;2,13;0,84;0,1;0,95;0,45;1,35;1,18;0,45
N. Chadli;Concarneau;RW, RAMF;22;2025-06-30;1337;3;right;3,14;7,67;0,2;0,2;0,34;48,68;2,15;4,64;2,09;0,07;0,74;0,47;2,09;0,67;0,94
E. Bardeli;Dunkerque;AMF, CF, LCMF;22;;2381;3;right;4,1;2,38;0,11;0,11;0,15;43,43;1,55;2,12;1,21;0,11;1,21;0,94;3,29;1,7;0,49
A. Boutoutaou;Valenciennes;LW, RW, AMF;23;2025-06-30;1482;4;right;3,44;5,22;0,24;0,31;0,24;39,85;2,13;2,85;0,97;0,11;0,85;0,55;2,31;0,97;0,36
Z. Davitashvili;Bordeaux;LWF, RAMF, AMF;23;2024-06-30;2087;3;right;3,27;3,54;0,13;0,3;0,04;36,96;4,14;3,15;2,2;0,05;1,12;0,3;1,25;1,12;0,13
L. Joseph;Grenoble;RW, RWF;23;2024-06-30;2337;3;right;4,16;4,39;0,12;0,31;0,08;33,33;3,7;3;1,89;0,08;0,77;0,42;1,42;0,73;0,19
G. Kyeremeh;Caen;RW, LW, RAMF;23;2025-06-30;1604;3;right;2,8;4,04;0,17;0,12;0,62;41,81;3,25;1,63;0,5;0,2;0,9;0,67;2,08;0,79;0,73
T. Vargas;Laval;RB, RWB, RW;23;;2466;1;right;4,2;3,36;0,04;0,05;0,58;47,33;0,88;1,61;0,73;0,26;1,79;0,62;4,53;0,62;1,46
B. Brahimi;Caen;CF, AMF, RW;23;2027-06-30;1472;1;left;2,07;3,55;0,06;0,18;0,31;46,54;2,32;2,14;0,98;0,11;1,04;0,61;3,49;0,98;1,04
L. Sinayoko;Auxerre;LAMF, RAMF, CF;24;2025-06-30;1610;5;right;5;4,47;0,28;0,28;0,11;37;5,7;2,63;0,34;0,1;1,01;0,22;1,84;1,68;0,39
H. Abdelli;Angers SCO;AMF, LW, LCMF;24;2026-06-30;2525;6;left;5,8;3,31;0,21;0,24;0,32;43,04;1,1;3,21;1,46;0,09;0,82;0,46;3,56;1,43;0,46
E. Sylvestre;Grenoble;RCMF, AMF;24;2024-06-30;1471;0;left;2,69;2,69;0;0,13;0,06;40,34;1,96;2,02;0,43;0,13;0,67;0,43;2,57;1,35;0,37
L. Ilić;Troyes;AMF, CF, RCMF;24;2024-06-30;1281;5;left;3,29;2,04;0,35;0,15;0,07;31,76;1,41;1,55;0,91;0,13;1,19;0,77;2,04;1,41;0,28
I. Kebbal;Paris;AMF, CF, RW;25;2024-06-30;2587;4;left;2,57;4,7;0,14;0,18;0,24;49,1;2,26;4,14;1,7;0,22;2,05;0,73;3,83;1,81;0,63
J. Livolant;Bordeaux;LAMF, RWF, AMF;26;2024-06-30;1839;2;right;2,65;3,38;0,1;0,18;0,34;43,67;3,13;1,47;0,39;0,14;0,83;0,39;2,64;0,73;0,83
M. Merghem;Guingamp;RW, RAMF;26;2025-06-30;1934;4;left;3,87;7,45;0,19;0,16;0,42;43,19;1,86;3,3;0,84;0,24;2,09;0,56;4,79;0,88;1,26
M. Cafaro;Saint-Étienne;RW, LW, RWF;26;2025-06-30;2029;3;right;2,89;6,21;0,13;0,17;0,71;51,82;2,08;2,53;1,51;0,33;1,91;1,15;4,88;1,2;1,42
G. Weissbeck;Bordeaux;LCMF, AMF, CF;27;2025-06-30;1900;3;right;4,22;2,27;0,14;0,18;0,09;24,73;2,13;1,85;0,81;0,07;0,85;0,19;2,37;0,9;0,24
A. Gory;Paris;RW, RAMF, LW;27;2024-06-30;2141;7;right;3,12;3,07;0,29;0,2;0,59;32,62;4,25;3,4;1,47;0,22;1,05;0,8;2,27;0,71;0,84
G. Perrin;Auxerre;RAMF, LAMF, AMF;27;2026-06-30;2498;7;right;2,67;5,58;0,25;0,19;0,54;42,94;3,53;3,28;0,65;0,25;2,2;0,79;3,64;1,51;1,12
A. Leautey;Amiens SC;RW, RAMF;27;2026-06-30;2520;3;left;3,24;4,43;0,11;0,11;0,32;43,01;2,39;3,61;2;0,09;0,75;0,68;3,18;0,54;1,36
B. Youssouf;Dunkerque;RB, RAMF;30;;2399;2;right;3,89;2,4;0,08;0,03;0,41;30;1,31;1,43;0,53;0,21;1,16;0,49;3,68;0,68;1,09
P. Hamel;Paris;CF, AMF;30;2026-06-30;1322;8;right;3,79;1,43;0,54;0,47;0,14;27,94;3,34;0,48;0,14;0;0,14;0,07;0,68;0,54;0,07
Z. Ferhat;Angers SCO;RW, RAMF;31;2024-06-30;1705;2;right;3,67;2,74;0,11;0,19;0,32;40;1,64;0,74;0,48;0,16;1,21;0,63;2,74;0,69;0,63
C. Vincent;Bastia;RWF, AMF, RW;31;2025-06-30;1919;1;right;4,07;2,25;0,05;0,15;0,14;29,19;1,36;0,98;0,42;0,13;1,03;0,47;1,92;0,47;0,52
S. Beusnard;Pau;LCMF, RCMF, AMF;31;2024-06-30;1997;1;left;3,92;1,8;0,05;0,08;0;52,21;0,59;1,04;0,36;0,06;1,04;0,14;1,26;0,45;0,27
G. Kakuta;Amiens SC;AMF, RW;32;2026-06-30;1464;4;left;2,29;4,73;0,25;0,24;0,18;35,52;1,72;1,78;0,74;0,07;0,55;0,68;3,32;1,11;0,55
H. Saivet;Pau;CF, AMF;33;2024-06-30;1876;7;right;3,18;2,11;0,34;0,22;0,1;48,04;0,91;0,91;0,29;0,13;1,15;0,34;1,49;0,77;0,34
Y. M'Changama;Troyes;AMF, LDMF, LCMF;33;2024-06-30;1334;0;right;3,72;2,29;0;0,1;0;42,86;0,4;0,47;0,2;0,05;0,54;0,2;1,96;0,47;0,54
