Player;Team;Position;Age;Market value;Contract expires;Minutes played;Successful defensive actions per 90;Defensive duels per 90;Defensive duels won, %;Aerial duels won, %;Interceptions per 90;PAdj Interceptions;Successful attacking actions per 90;Accurate crosses from right flank, %;Crosses to goalie box per 90;Accelerations per 90;Passes per 90;Accurate passes, %;Accurate forward passes, %;Accurate short / medium passes, %;Accurate long passes, %;Accurate passes to final third, %;Accurate progressive passes, %
Z. Moco;Dijon;RB, RWB;20;0;;1341;10,4;9,06;64,44;43,33;4,56;6,05;1,81;16;0,27;0,27;34,7;78,34;68,89;86,53;40,74;67,06;72,55
L. Sy;Rouen;RB, RWB;21;0;;2216;7,72;6,3;54,84;38,71;4,06;5,5;2,15;27,08;0,24;1,42;43,9;85,01;78,2;88,5;50;79,66;64,91
D. Durivaux;Niort;RB, RWB;22;300000;2024-06-30;2454;8,76;8,26;57,6;37,84;3,81;5,03;3,73;36,63;0,46;0,53;37,99;79,76;72,56;88,35;49,47;74,14;74,77
H. Sbaï;Nîmes;RB, RWB;24;0;;1347;10,16;10,42;58,33;21,43;3,74;4,41;3,07;23,53;0,33;0,87;33,27;77,11;73,14;84,94;40,48;67,86;66,34
S. Delos;Nancy;RWB, RB;24;500000;2024-06-30;2080;7,75;6,88;52,2;54,9;3,89;5,17;4,72;35,38;0,43;0,95;28,51;75,42;64,29;84,63;45,16;61,54;71,85
M. Expérience;Cholet;LB, LWB, RB;25;350000;;1687;11,21;7,95;65,96;39,39;4,9;6,49;1,69;63,64;0,28;0,85;35,79;84,41;79,02;88,71;59,26;71,43;75,61
A. Gameiro;Cholet;RW, RWB, RB;25;300000;2024-06-30;1272;7,16;5,64;62,16;32,14;3,58;4,43;2,59;25,71;0,3;1,91;24,61;70,59;60;76,78;72,73;65,63;50,79
A. Djaha;Martigues;RB, LB;25;300000;2024-06-30;1808;11,53;9,38;59,78;50;5,66;7,45;1,47;47,06;0,21;0,16;30,28;81,31;75,09;86;52,46;70,79;71,07
J. Santini;Cholet;RB, RCB;25;0;2024-06-30;1809;10,68;9,37;69,35;58,46;3,83;5,59;3,38;28,95;0,3;1,01;39,86;81,04;74,32;86,78;54,93;68,8;74,16
J. Halby-Touré;Orléans;RWB, RW, RB;27;300000;;1599;7,11;4,99;57,65;52,63;4,11;5,82;2,06;26,47;0,94;0,47;33,37;74,65;65,84;83,33;57,78;65,08;67,83
D. Luvualu;Épinal;RB, LB;27;0;2024-06-30;1410;10,91;8,94;65;44,12;4,91;5,97;1,4;50;0;0,13;30,64;76,04;66,82;82,66;40,98;60,87;69,92
Julien Dacosta;Sochaux;RB;27;300000;;1688;9,91;8,18;65,69;55;3,88;5,3;2,33;33,33;0,36;0,36;34,02;76,84;71;83,33;65,45;73,03;73,65
D. Doucouré;Marignane Gignac CB;RB;27;0;;1356;9,4;8,64;58,06;25;4,32;5,64;2,37;45,71;0,28;0,42;41,1;78,14;60,59;83,92;37,78;62,9;62,9
A. Ribelin;Le Mans;RB;27;300000;2024-06-30;2122;9,03;7,34;64,16;33,33;4,03;5,52;1,57;35,71;0,21;1,74;46,65;82,27;71,97;88,95;52,42;61,82;75,91
J. Leborgne;Versailles;RB;28;400000;;1650;8,24;6,93;62,99;41,67;3,65;4,81;1,75;21,43;0,11;0,65;39,93;77,05;67,7;86,49;54,41;70,21;80,5
