Player;Team;Position;Age;Market value;Contract expires;Minutes played;Successful defensive actions per 90;Defensive duels per 90;Defensive duels won, %;Aerial duels won, %;Interceptions per 90;PAdj Interceptions;Successful attacking actions per 90;Accurate crosses from right flank, %;Crosses to goalie box per 90;Accelerations per 90;Passes per 90;Accurate passes, %;Accurate forward passes, %;Accurate short / medium passes, %;Accurate long passes, %;Accurate passes to final third, %;Accurate progressive passes, %
Y. Koré;Paris;RCB, RB;19;900000;2025-06-30;1692;8,14;7,23;69,85;43,75;2,55;3,5;1,22;15,38;0,16;0,16;51,7;87,04;73,37;92,73;49,51;61,73;65,58
T. Zoukrou;Troyes;RCB, RB;20;300000;2026-06-30;1887;6,96;3,62;68,42;37,29;4,39;5,64;0,24;0;0;0;60,24;91,61;79,61;94,89;57,01;50,77;55,26
M. Tourraine;Grenoble;RB;23;150000;2026-06-30;2034;12,04;10,53;65,55;23,91;4,42;5,51;3,85;30,36;0,18;0,8;44,65;76,81;67,02;84,78;40,68;54,29;73,54
N. Cissé;Quevilly Rouen;RCB, RB;23;300000;2025-06-30;1283;9,19;4,84;59,42;45,95;5,96;7,14;1,26;25;0,07;0,28;34,16;83,98;73,11;89,24;58,9;57,45;62,92
M. Diop;Troyes;RB, RCMF, RDMF;23;0;;1688;6,34;4,91;57,61;41,86;3,31;4,23;1,87;11,11;0;0,37;33,75;86,1;77,53;89,37;57,5;76,92;65,82
I. Boura;Troyes;LB, RB;23;1200000;2027-06-30;2078;10,96;7,54;62,64;44,23;5,37;6,71;2,17;50;0,26;0,74;45,95;84,73;71,08;90,78;49,52;59,18;61,9
S. Loric;Quevilly Rouen;LB, RB;23;500000;2024-06-30;1389;12,51;9,59;62,84;62,32;6,22;7,64;2,98;35,29;0,39;1,04;32,98;73,87;69,76;81,2;53,33;60,61;70,87
L. Rao-Lisoa;Angers SCO;RW, RB, LW;23;150000;2026-06-30;1410;8,36;7,4;61,21;51,67;3,51;4,63;3,38;31,03;0,38;1,15;37,6;77,76;62,57;83,73;53,7;55,7;68,13
P. Joly;Auxerre;RB;23;1500000;2026-06-30;2242;12,32;9,35;64,38;45;5,82;8,3;4,13;30,94;0,8;0,56;62,94;80,8;77,24;88,37;58,39;68,5;82,28
T. Vargas;Laval;RB, RWB, RW;23;800000;;2466;6,72;5,51;56,29;30,95;3,58;4,2;3,36;27,94;0,58;0,73;34,12;71,66;63,91;81,82;60,22;62,26;75,94
M. Bokele;Bordeaux;RCB, RB;24;1500000;2027-06-30;1541;10,1;4,44;73,68;50;6,19;9,64;1,46;40;0,23;0,18;51,75;85,55;76,6;91,36;51,61;63,54;77,18
A. Linguet;Valenciennes;RB, RWB;24;700000;2024-06-30;1693;7,55;6,01;60,18;42,86;3,88;4,94;2,71;29,03;0,21;0,74;35,25;81;71,07;85,76;50;70,83;72
Y. Valery;Angers SCO;RB;25;2500000;2026-06-30;2440;9,55;8;64,06;59,09;4,32;5,98;3,32;25;0,3;0,85;41,05;75,74;64,65;85,73;44,44;58,59;70,89
Y. Bilingi;Dunkerque;RB, LB, RCB;25;350000;;2717;8,28;6,29;58,95;46,67;4,57;5,83;0,96;23,08;0,03;0,46;38,09;85,13;76,43;89,8;54,9;68,85;64,74
A. Georgen;Concarneau;LB, RB;25;350000;;1944;11,67;8,24;68,54;47,89;5,51;7,29;2,13;37,5;0,23;1,48;47,5;82,55;75,2;88,58;58,59;70,83;61,21
M. Sivis;Guingamp;RB;25;800000;2024-06-30;2590;10,39;6,78;57,95;48,24;5,98;7,53;1,98;25;0,52;0,59;33,88;73,74;66,15;82,7;48,24;64,49;69,9
L. Buadés;Rodez ;RWB, RB;26;700000;2024-06-30;1763;8,37;7,1;56,12;51,39;4,19;5,15;3,37;24,18;0,61;0,36;29,3;69,51;70,8;81,18;50;66,2;76,71
F. Bohnert;Bastia;RB, RWB, LCB;26;400000;2027-06-30;2373;9,75;7,66;64,85;32,91;4,48;5,95;1,78;28,26;0,15;0,61;44,07;79;69,87;86,46;48,39;61,78;66,81
T. Moore;Valenciennes;LCB, RB;26;500000;;1506;9,14;5,14;70,93;60,49;5,14;6,58;0,42;12,5;0;0,3;53,13;85,49;70,22;92,15;55,32;51,85;64,71
C. Michelin;Bordeaux;RB, RCB;26;1500000;2025-06-30;1979;8,14;5,64;62,1;57,58;3,37;5,48;4,32;37,76;0,45;1,14;44,93;81,58;71,76;89,73;48;75,73;80,2
A. Sissoko;Quevilly Rouen;RB;27;800000;2024-06-30;1893;11,79;7,08;63,76;54,29;6,94;8,62;3,23;49,38;0,52;0,76;41,89;79,91;75,19;86,4;61,61;79,62;79,61
K. Dabila;Paris;RB, RCB;27;600000;2024-06-30;1914;5,83;5,41;61,74;33,33;2,3;3,26;1,13;40,54;0,19;0,05;56,61;88,54;78,95;94,25;47,75;62,92;74,29
E. Ntim;Troyes;RCB, RB;28;800000;2025-06-30;1609;7,94;4,42;54,43;60;5,2;6,17;0,56;42,86;0,11;0,11;45,36;88,04;75,09;94,12;51,4;61,43;62,5
