DateTime,SrcIP,SrcPort,DestIP,DestPort,BytesTotal,Msg,Malicious
1,206.189.141.16,34862,169.244.6.98,22,60,-,0
1,206.189.141.16,34862,169.244.6.98,22,4281,-,0
1,206.189.201.63,41400,169.244.6.98,22,60,-,0
1,206.189.201.63,41400,169.244.6.98,22,4313,-,0
1,206.189.201.63,44586,169.244.6.98,22,60,-,0
1,206.189.201.63,44586,169.244.6.98,22,4313,-,0
1,138.197.102.194,35078,169.244.6.98,22,60,-,0
1,138.197.102.194,35078,169.244.6.98,22,4241,-,0
1,206.189.201.63,42576,169.244.6.98,22,60,-,0
1,206.189.201.63,42576,169.244.6.98,22,4313,-,0
1,206.189.141.16,43574,169.244.6.98,22,60,-,0
1,206.189.141.16,43574,169.244.6.98,22,4281,-,0
1,206.189.201.63,58608,169.244.6.98,22,60,-,0
1,138.197.102.194,37520,169.244.6.98,22,4321,-,0
1,206.189.141.16,50782,169.244.6.98,22,4281,-,0
1,206.189.201.63,58608,169.244.6.98,22,4281,-,0
1,206.189.201.63,56034,169.244.6.98,22,60,-,0
1,206.189.201.63,56034,169.244.6.98,22,4281,-,0
1,206.189.201.63,55332,169.244.6.98,22,60,-,0
1,206.189.201.63,55332,169.244.6.98,22,4281,-,0
1,206.189.141.16,40000,169.244.6.98,22,60,-,0
1,206.189.141.16,40000,169.244.6.98,22,4281,-,0
1,206.189.201.63,46242,169.244.6.98,22,60,-,0
1,206.189.201.63,46242,169.244.6.98,22,4281,-,0
1,138.197.102.194,46316,169.244.6.98,22,60,-,0
1,138.197.102.194,46316,169.244.6.98,22,4281,-,0
1,206.189.201.63,50190,169.244.6.98,22,60,-,0
1,206.189.201.63,50190,169.244.6.98,22,4281,-,0
1,170.64.158.211,52528,169.244.6.98,22,60,-,0
1,170.64.158.211,52528,169.244.6.98,22,4297,-,0
1,206.189.201.63,50532,169.244.6.98,22,60,-,0
1,206.189.201.63,50532,169.244.6.98,22,4281,-,0
1,206.189.141.16,48668,169.244.6.98,22,60,-,0
1,206.189.141.16,48668,169.244.6.98,22,4281,-,0
1,206.189.201.63,41774,169.244.6.98,22,60,-,0
1,206.189.201.63,41774,169.244.6.98,22,4281,-,0
1,138.197.102.194,56472,169.244.6.98,22,60,-,0
1,206.189.201.63,36572,169.244.6.98,22,60,-,0
1,138.197.102.194,56472,169.244.6.98,22,4281,-,0
1,206.189.201.63,36572,169.244.6.98,22,4281,-,0
1,206.189.201.63,40246,169.244.6.98,22,60,-,0
1,206.189.201.63,40246,169.244.6.98,22,4281,-,0
1,206.189.141.16,44340,169.244.6.98,22,60,-,0
1,206.189.141.16,44340,169.244.6.98,22,4281,-,0
1,206.189.201.63,50660,169.244.6.98,22,60,-,0
1,206.189.201.63,50660,169.244.6.98,22,4281,-,0
1,206.189.201.63,52432,169.244.6.98,22,60,-,0
1,206.189.201.63,52432,169.244.6.98,22,4281,-,0
1,138.197.102.194,50350,169.244.6.98,22,60,-,0
1,138.197.102.194,50350,169.244.6.98,22,4241,-,0
1,206.189.201.63,38586,169.244.6.98,22,60,-,0
1,206.189.201.63,38586,169.244.6.98,22,4281,-,0
1,206.189.141.16,49170,169.244.6.98,22,60,-,0
1,206.189.141.16,49170,169.244.6.98,22,4281,-,0
1,170.64.200.132,53643,169.244.6.98,22,46,-,0
1,206.189.201.63,42952,169.244.6.98,22,60,-,0
1,170.64.200.132,53643,169.244.6.98,22,130,-,0
1,206.189.201.63,42952,169.244.6.98,22,4281,-,0
1,206.189.201.63,48430,169.244.6.98,22,60,-,0
1,206.189.201.63,48430,169.244.6.98,22,4281,-,0
1,206.189.201.63,46396,169.244.6.98,22,60,-,0
1,138.197.102.194,35872,169.244.6.98,22,60,-,0
1,206.189.201.63,46396,169.244.6.98,22,4281,-,0
1,138.197.102.194,35872,169.244.6.98,22,4337,-,0
1,206.189.201.63,51942,169.244.6.98,22,60,-,0
1,206.189.201.63,51942,169.244.6.98,22,4297,-,0
1,47.93.252.66,52884,169.244.6.98,22,60,-,0
1,206.189.201.63,36752,169.244.6.98,22,60,-,0
1,206.189.201.63,36752,169.244.6.98,22,4297,-,0
1,47.93.252.66,41500,169.244.6.98,22,60,-,0
1,47.93.252.66,52884,169.244.6.98,22,456,-,0
1,47.93.252.66,41500,169.244.6.98,22,3783,-,0
1,47.93.252.66,45070,169.244.6.98,22,60,-,0
1,138.197.102.194,58504,169.244.6.98,22,60,-,0
1,47.93.252.66,53048,169.244.6.98,22,60,-,0
1,138.197.102.194,58504,169.244.6.98,22,4321,-,0
1,47.93.252.66,45070,169.244.6.98,22,3795,-,0
1,206.189.201.63,42530,169.244.6.98,22,60,-,0
1,206.189.201.63,42530,169.244.6.98,22,4281,-,0
1,47.93.252.66,55590,169.244.6.98,22,60,-,0
1,47.93.252.66,53048,169.244.6.98,22,3715,-,0
1,47.93.252.66,58924,169.244.6.98,22,60,-,0
1,47.93.252.66,55590,169.244.6.98,22,3715,-,0
1,206.189.141.16,50532,169.244.6.98,22,60,-,0
1,47.93.252.66,38624,169.244.6.98,22,60,-,0
1,47.93.252.66,58924,169.244.6.98,22,3715,-,0
1,206.189.141.16,50532,169.244.6.98,22,4241,-,0
1,47.93.252.66,38624,169.244.6.98,22,3875,-,0
1,47.93.252.66,39050,169.244.6.98,22,60,-,0
1,47.93.252.66,39050,169.244.6.98,22,3715,-,0
1,206.189.201.63,49160,169.244.6.98,22,60,-,0
1,47.93.252.66,44528,169.244.6.98,22,60,-,0
1,206.189.201.63,49160,169.244.6.98,22,4281,-,0
1,47.93.252.66,44528,169.244.6.98,22,3875,-,0
1,47.93.252.66,44916,169.244.6.98,22,60,-,0
1,47.93.252.66,44916,169.244.6.98,22,3715,-,0
1,47.93.252.66,52878,169.244.6.98,22,60,-,0
1,47.93.252.66,52878,169.244.6.98,22,3715,-,0
1,47.93.252.66,53212,169.244.6.98,22,60,-,0
1,47.93.252.66,58756,169.244.6.98,22,60,-,0
1,47.93.252.66,53212,169.244.6.98,22,3715,-,0
1,206.189.201.63,59378,169.244.6.98,22,60,-,0
1,47.93.252.66,38438,169.244.6.98,22,60,-,0
1,206.189.201.63,59378,169.244.6.98,22,4321,-,0
1,47.93.252.66,58756,169.244.6.98,22,3715,-,0
1,206.189.201.63,36362,169.244.6.98,22,60,-,0
1,47.93.252.66,38438,169.244.6.98,22,2555,-,0
1,206.189.201.63,36362,169.244.6.98,22,4241,-,0
1,47.93.252.66,58276,169.244.6.98,22,60,-,0
1,206.189.141.16,39010,169.244.6.98,22,60,-,0
1,138.197.102.194,38072,169.244.6.98,22,60,-,0
1,47.93.252.66,58618,169.244.6.98,22,60,-,0
1,47.93.252.66,58276,169.244.6.98,22,3755,-,0
1,206.189.141.16,39010,169.244.6.98,22,4321,-,0
1,138.197.102.194,38072,169.244.6.98,22,4281,-,0
1,47.93.252.66,58618,169.244.6.98,22,3847,-,0
1,47.93.252.66,38482,169.244.6.98,22,60,-,0
1,47.93.252.66,38482,169.244.6.98,22,3755,-,0
1,47.93.252.66,42052,169.244.6.98,22,60,-,0
1,206.189.201.63,37040,169.244.6.98,22,60,-,0
1,206.189.201.63,37040,169.244.6.98,22,4281,-,0
1,47.93.252.66,43420,169.244.6.98,22,60,-,0
1,47.93.252.66,42052,169.244.6.98,22,3811,-,0
1,47.93.252.66,43420,169.244.6.98,22,3715,-,0
1,47.93.252.66,51346,169.244.6.98,22,60,-,0
1,170.64.158.211,60538,169.244.6.98,22,60,-,0
1,47.93.252.66,51776,169.244.6.98,22,60,-,0
1,47.93.252.66,51346,169.244.6.98,22,3899,-,0
1,170.64.158.211,60538,169.244.6.98,22,4281,-,0
1,47.93.252.66,51776,169.244.6.98,22,4347,-,0
1,47.93.252.66,56384,169.244.6.98,22,60,-,0
