Valid on march 2023
The amounts are in Japanese Yen.
,Per Hour
Hokkaido prefecture,¥920
Aomori prefecture,¥853
Iwate prefecture,¥854
Miyagi prefecture,¥883
Akita prefecture,¥853
Yamagata prefecture,¥854
Fukushima prefecture,¥858
Ibaraki prefecture,¥911
Tochigi prefecture,¥913
Gunma prefecture,¥895
Saitama prefecture,¥987
Chiba prefecture,¥984
Tokyo prefecture,"¥1,072"
Kanagawa prefecture,"¥1,071"
Niigata prefecture,¥890
Toyama prefecture,¥908
Ishikawa prefecture,¥891
Fukui prefecture,¥888
Yamanashi prefecture,¥898
Nagano prefecture,¥908
Gifu prefecture,¥910
Shizuoka prefecture,¥944
Aichi prefecture,¥986
Mie prefecture,¥933
Shiga prefecture,¥927
Kyoto prefecture,¥968
Osaka prefecture,"¥1,023"
Hyogo prefecture,¥960
Nara prefecture,¥896
Wakayama prefecture,¥889
Tottori prefecture,¥790
Shimane prefecture,¥857
Okayama prefecture,¥892
Hiroshima prefecture,¥930
Yamaguchi prefecture,¥888
Tokushima prefecture,¥855
Kagawa prefecture,¥878
Ehime prefecture,¥853
Kochi prefecture,¥853
Fukuoka prefecture,¥900
Saga prefecture,¥853
Nagasaki prefecture,¥853
Kumamoto prefecture,¥853
Oita prefecture,¥854
Miyazaki prefecture,¥853
Kagoshima prefecture,¥853
Okinawa prefecture,¥853
