"The current minimum wage in Russia is RUB16,242.00 per month in 2023. It became valid on January 1, 2023."
Valid on march 2023
The amounts are in Russian Ruble.
,Per month
Federal Minimum Wage,"RUB16,242.00"
Altai Region - for commercial firms,"RUB16,242.00"
Altai Region - for public servants,"RUB16,242.00"
Amur Region,"RUB16,242.00"
Arhangelsk Region,"RUB16,242.00"
Astrakhan Region,"RUB16,242.00"
Belgorod Region,"RUB16,242.00"
Bryansk Region - for commercial firms,"RUB16,242.00"
Bryansk Region - for state employees,"RUB16,242.00"
Vladimir Region,"RUB16,242.00"
Volgograd region - for state employees,"RUB17,518.80"
Volgograd Region - for commercial firms,"RUB17,518.80"
Vologodskaya Region,"RUB16,242.00"
Voronezh Region,"RUB16,242.00"
Jewish Autonomous Region,"RUB16,242.00"
Zabaykalsky Krai / Transbaikal Region,"RUB16,242.00"
Ivanovo Region,"RUB16,242.00"
Irkutsk Region,"RUB16,242.00"
Kabardino-Balkar Republic,"RUB16,242.00"
Kaliningrad Region - for commercial firms,"RUB16,242.00"
Kaliningrad Region - for public servants,"RUB16,242.00"
Kaluga Region,"RUB16,242.00"
Kamchatka Region,"RUB16,242.00"
Karachay-Cherkess Republic,"RUB16,242.00"
Kemerovo Region,"RUB16,242.00"
Kirov Region,"RUB16,242.00"
Kostroma Region,"RUB16,242.00"
Krasnodar Region,"RUB17,054.10"
Krasnoyarsk Region,"RUB25,988.00"
Kurgan Region - for commercial firms,"RUB18,678.30"
Kurgan Region - for public servants,"RUB18,678.30"
Kursk Region,"RUB16,242.00"
Leningrad Region - for commercial firms,"RUB16,242.00"
Leningrad Region - for public servants,"RUB16,242.00"
Lipetsk Region - for commercial firms,"RUB16,242.00"
Lipetsk Region - for public servants,"RUB16,242.00"
Magadan Region,"RUB16,242.00"
Moscow Federal City,"RUB24,284.00"
Moscow Region - for commercial firms,"RUB16,242.00"
Moscow Region - for public servants,"RUB16,242.00"
Murmansk Region,"RUB16,242.00"
Nenets Autonomous Region,"RUB16,242.00"
Nizhny Novgorod Region,"RUB16,242.00"
Novgorod Region,"RUB16,242.00"
Novosibirsk Region,"RUB16,242.00"
Omsk Region - for commercial firms,"RUB18,678.00"
Omsk Region - for public servants,"RUB16,242.00"
Orenburg Region,"RUB16,242.00"
Oryol Region,"RUB16,242.00"
Penza Region,"RUB15,279.00"
Perm Region,"RUB16,242.00"
Primorsky Region,"RUB16,242.00"
Pskov Region,"RUB16,242.00"
Adygeya Republic,"RUB16,242.00"
Altai Republic,"RUB16,242.00"
Bashkortostan Republic,"RUB19,743.00"
Buryatia Republic,"RUB17,079.00"
Dagestan Republic,"RUB16,242.00"
Ingushetia Republic,"RUB16,242.00"
Kalmykia Republic,"RUB16,242.00"
Karelia Republic,"RUB16,242.00"
Komi Republic,"RUB16,242.00"
Crimea Republic,"RUB16,242.00"
Mari El Republic,"RUB16,242.00"
Mordovia Republic,"RUB16,242.00"
Sakha Republic (Yakutia) - for commercial firms,"RUB22,911.00"
Sakha Republic (Yakutia) - for public servants,"RUB16,242.00"
North Ossetia - Alania Republic,"RUB16,242.00"
Tatarstan Republic - for commercial firms,"RUB16,700.00"
Tatarstan Republic - for public servants,"RUB16,242.00"
Tyva Republic,"RUB16,242.00"
Khakassia Republic,"RUB25,987.00"
Rostov Region - for commercial firms,"RUB18,334.80"
Rostov Region - for public servants,"RUB16,242.00"
Ryazan Region - for commercial firms,"RUB16,242.00"
Ryazan Region - for public servants,"RUB16,242.00"
Samara Region,"RUB16,242.00"
Saratov Region,"RUB16,242.00"
St Petersburg Federal City - for commercial firms,"RUB16,242.00"
St Petersburg Federal City - for public servants,"RUB16,242.00"
Sakhalin Region - for commercial firms,"RUB16,242.00"
Sakhalin Region - for public servants,"RUB16,242.00"
Sverdlovsk Region,"RUB16,242.00"
Sevastopol Federal City,"RUB16,242.00"
Smolensk Region,"RUB16,242.00"
Stavropol Region,"RUB16,242.00"
Tambov Region,"RUB16,242.00"
Tver Region,"RUB16,242.00"
"Tomsk Region - In Bakchar, Krivosheinsky, Molchanovsky and Teguldet districts","RUB16,242.00"
Tula Region - for commercial firms,"RUB15,300.00"
Tula Region - for public servants,"RUB16,242.00"
Tyumen Region - for commercial firms,"RUB16,242.00"
Tyumen Region - for public servants,"RUB16,242.00"
Udmurt Republic - for commercial firms,"RUB18,678.30"
Udmurt Republic - for public servants,"RUB16,242.00"
Ulyanovsk Region - for commercial firms,"RUB15,700.00"
Ulyanovsk Region - for public servants and small businesses,"RUB16,242.00"
Khabarovsk Region,"RUB16,242.00"
Hunts-Mansi Autonomous Region - Yugra,"RUB16,242.00"
Chelyabinsk Region,"RUB16,242.00"
Chechen Republic,"RUB16,242.00"
Chuvash Republic,"RUB16,242.00"
Chukotka Autonomous District,"RUB16,242.00"
Yamalo-Nenets Autonomous Region - for commercial firms,"RUB21,617.00"
Yamalo-Nenets Autonomous Region - for public servants,"RUB16,242.00"
Yaroslavl Region,"RUB16,242.00"
