Valid on march 2023
"Minimum wage with effect from October 1, 2022"
The amounts are in Thai Baht.
,Per Day
Chiang Mai,THB340.00
Chiang Rai,THB332.00
Phetchaburi,THB335.00
Phetchabun,THB335.00
Loei,THB335.00
Phrae,THB332.00
Mae Hong Son,THB332.00
Krabi,THB340.00
Bangkok,THB353.00
Kanchanaburi,THB335.00
Kalasin,THB338.00
Kamphaeng Phet,THB332.00
Khon Kaen,THB340.00
Chanthaburi,THB338.00
Chachoengsao,THB345.00
Chon Buri,THB354.00
Chainat,THB335.00
Chaiyaphum,THB332.00
Chumpon,THB332.00
Trang,THB332.00
Trat,THB340.00
Tak,THB332.00
Nakhon Nayok,THB338.00
Nakhon Pathom,THB353.00
Nakhon Phanom,THB335.00
Nakhon Ratchasima,THB340.00
Nakhon Si Thammarat,THB332.00
Nakhon Sawan,THB335.00
Nonthaburi,THB353.00
Narathiwat,THB328.00
Nan,THB328.00
Bung Kan,THB335.00
Buri Ram,THB335.00
Pathum Thani,THB353.00
Prachuap Khiri Khan,THB335.00
Prachin Buri,THB340.00
Pattani,THB328.00
Ayutthaya,THB343.00
Phayao,THB335.00
Phang-nga,THB340.00
Phatthalung,THB335.00
Phichit,THB332.00
Phitsanuloke,THB335.00
Phuket,THB354.00
Maha Sarakham,THB332.00
Mukdahan,THB338.00
Yasothon,THB335.00
Yala,THB328.00
Roi-et,THB335.00
Ranong,THB332.00
Rayong,THB354.00
Ratchaburi,THB332.00
Lop Buri,THB340.00
Lampang,THB332.00
Lamphun,THB332.00
Si Sa Ket,THB332.00
Songkhla,THB340.00
Sathun,THB332.00
Samut Prakan,THB353.00
Samut Songkhram,THB338.00
Samut Sakhon,THB353.00
Sa Kaew,THB335.00
Saraburi,THB340.00
Sakhon Nakhon,THB338.00
Sing Buri,THB332.00
Sukhothai,THB332.00
Suphan Buri,THB340.00
Surat Thani,THB340.00
Surin,THB335.00
Nong Khai,THB340.00
Nong Bua Lamphu,THB332.00
Ang Thong,THB335.00
Amnat Charoen,THB332.00
Udon Thani,THB328.00
Uttradit,THB335.00
Uthai Thani,THB332.00
Ubon Ratchathani,THB340.00
